SYSCALL(args) 		 = return
stat64("/usr/lib/system/libcopyfile.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libcorecrypto.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libdispatch.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libdyld.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libkeymgr.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/liblaunch.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libmacho.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libquarantine.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libremovefile.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_asl.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_blocks.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_c.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_configuration.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_coreservices.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_darwin.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_dnssd.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_featureflags.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_info.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_m.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_malloc.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_networkextension.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_notify.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_sandbox.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_secinit.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_kernel.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_platform.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_pthread.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_symptoms.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libsystem_trace.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libunwind.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/system/libxpc.dylib\0", 0x7FFEE787ACD0, 0x0)		 = 0 0
stat64("/usr/lib/libobjc.A.dylib\0", 0x7FFEE7879FA0, 0x0)		 = 0 0
stat64("/usr/lib/libc++abi.dylib\0", 0x7FFEE7879630, 0x0)		 = 0 0
stat64("/usr/lib/libc++.1.dylib\0", 0x7FFEE7879630, 0x0)		 = 0 0
stat64("/usr/lib/libfakelink.dylib\0", 0x7FFEE787B040, 0x0)		 = 0 0
stat64("/usr/lib/libDiagnosticMessagesClient.dylib\0", 0x7FFEE787B040, 0x0)		 = 0 0
stat64("/usr/lib/libicucore.A.dylib\0", 0x7FFEE787B040, 0x0)		 = 0 0
stat64("/usr/lib/libz.1.dylib\0", 0x7FFEE787B040, 0x0)		 = 0 0
open("/dev/dtracehelper\0", 0x2, 0xFFFFFFFFE787BE80)		 = 3 0
ioctl(0x3, 0x80086804, 0x7FFEE787BD90)		 = 0 0
close(0x3)		 = 0 0
mprotect(0x108385000, 0x1000, 0x1)		 = 0 0
access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)		 = -1 Err#2
bsdthread_register(0x7FFF70F72B7C, 0x7FFF70F72B68, 0x2000)		 = 1073742047 0
sysctlbyname(kern.bootargs, 0xD, 0x7FFEE787ADE0, 0x7FFEE787ADD0, 0x0)		 = 0 0
issetugid(0x0, 0x0, 0x0)		 = 0 0
ioctl(0x2, 0x4004667A, 0x7FFEE787B124)		 = -1 Err#25
ioctl(0x2, 0x40487413, 0x7FFEE787B128)		 = -1 Err#25
mprotect(0x108390000, 0x1000, 0x0)		 = 0 0
mprotect(0x108397000, 0x1000, 0x0)		 = 0 0
mprotect(0x108398000, 0x1000, 0x0)		 = 0 0
mprotect(0x10839F000, 0x1000, 0x0)		 = 0 0
mprotect(0x10838E000, 0x90, 0x1)		 = 0 0
mprotect(0x1083A0000, 0x1000, 0x1)		 = 0 0
mprotect(0x10838E000, 0x90, 0x3)		 = 0 0
mprotect(0x10838E000, 0x90, 0x1)		 = 0 0
getentropy(0x7FFEE787A530, 0x20, 0x0)		 = 0 0
getentropy(0x7FFEE787A580, 0x40, 0x0)		 = 0 0
getpid(0x0, 0x0, 0x0)		 = 1681 0
stat64("/AppleInternal\0", 0x7FFEE787B250, 0x0)		 = -1 Err#2
csops_audittoken(0x691, 0x7, 0x7FFEE787ADA0)		 = 0 0
proc_info(0x2, 0x691, 0xD)		 = 64 0
csops_audittoken(0x691, 0x7, 0x7FFEE787A620)		 = 0 0
geteuid(0x0, 0x0, 0x0)		 = 0 0
getuid(0x0, 0x0, 0x0)		 = 0 0
sysctl([CTL_KERN, 14, 1, 1681, 0, 0] (4), 0x7FFEE7879B88, 0x7FFEE7879B68, 0x0, 0x0)		 = 0 0
gettid(0x7FFEE7879E70, 0x7FFEE7879E74, 0x0)		 = -1 Err#3
geteuid(0x0, 0x0, 0x0)		 = 0 0
getegid(0x0, 0x0, 0x0)		 = 0 0
csops(0x691, 0x0, 0x7FFEE787ABCC)		 = 0 0
proc_info(0x2, 0x691, 0xB)		 = 0 0
gettid(0x7FFEE7879E40, 0x7FFEE7879E44, 0x0)		 = -1 Err#3
geteuid(0x0, 0x0, 0x0)		 = 0 0
getegid(0x0, 0x0, 0x0)		 = 0 0
getppid(0x0, 0x0, 0x0)		 = 1678 0
proc_info(0x2, 0x68E, 0xD)		 = 64 0
stat64("/Library/Caches/com.apple.DiagnosticReporting.HasBeenAppleInternal\0", 0x7FFEE787B4F0, 0x0)		 = -1 Err#2
proc_info(0x2, 0x68E, 0xB)		 = 0 0
proc_info(0x2, 0x68E, 0x3)		 = 136 0
proc_info(0x2, 0x68C, 0xD)		 = 64 0
stat64("/Library/Caches/com.apple.DiagnosticReporting.HasBeenAppleInternal\0", 0x7FFEE787B4F0, 0x0)		 = -1 Err#2
proc_info(0x2, 0x68C, 0xB)		 = 0 0
proc_info(0x2, 0x68C, 0x3)		 = 136 0
proc_info(0x2, 0x68B, 0xD)		 = 64 0
stat64("/Library/Caches/com.apple.DiagnosticReporting.HasBeenAppleInternal\0", 0x7FFEE787B4F0, 0x0)		 = -1 Err#2
proc_info(0x2, 0x68B, 0xB)		 = 0 0
proc_info(0x2, 0x68B, 0x3)		 = 136 0
proc_info(0x2, 0x212, 0xD)		 = 64 0
stat64("/Library/Caches/com.apple.DiagnosticReporting.HasBeenAppleInternal\0", 0x7FFEE787B4F0, 0x0)		 = -1 Err#2
proc_info(0x2, 0x212, 0xB)		 = 0 0
proc_info(0x2, 0x212, 0x3)		 = 136 0
proc_info(0x2, 0x1DD, 0xD)		 = 64 0
stat64("/Library/Caches/com.apple.DiagnosticReporting.HasBeenAppleInternal\0", 0x7FFEE787B4F0, 0x0)		 = -1 Err#2
proc_info(0x2, 0x1DD, 0xB)		 = 0 0
proc_info(0x2, 0x16F, 0xD)		 = 64 0
stat64("/Library/Caches/com.apple.DiagnosticReporting.HasBeenAppleInternal\0", 0x7FFEE787B4F0, 0x0)		 = -1 Err#2
proc_info(0x2, 0x16F, 0xB)		 = 0 0
getuid(0x0, 0x0, 0x0)		 = 0 0
getgid(0x0, 0x0, 0x0)		 = 0 0
shm_open(0x7FFF70F67280, 0x0, 0x0)		 = 3 0
mmap(0x0, 0x1000, 0x1, 0x1, 0x3, 0x0)		 = 0x1083A1000 0
close_nocancel(0x3)		 = 0 0
geteuid(0x0, 0x0, 0x0)		 = 0 0
stat64("/etc/asl/.noquota\0", 0x7FFEE787B1D0, 0x0)		 = -1 Err#2
csops(0x0, 0x0, 0x7FFEE787C91C)		 = 0 0
ioctl(0x0, 0x4004667A, 0x7FFEE787C8A4)		 = 0 0
mmap(0x0, 0x40000, 0x3, 0x1002, 0xFFFFFFFFFFFFFFFF, 0x0)		 = 0x1083A2000 0
fstat64(0x0, 0x7FFEE787C7E8, 0x0)		 = 0 0
fstat64(0x0, 0x7FFEE787C6E8, 0x0)		 = 0 0
fstat64(0x1, 0x7FFEE787C6E8, 0x0)		 = 0 0
fstat64(0x2, 0x7FFEE787C6E8, 0x0)		 = 0 0
readlink("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/Python\0", 0x7FFEE787C380, 0x400)		 = -1 Err#22
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/Modules/Setup\0", 0x7FFEE787C380, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/lib/python2.7/os.py\0", 0x7FFEE787BA68, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/lib/python2.7/os.pyc\0", 0x7FFEE787BA68, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/lib/python2.7/os.py\0", 0x7FFEE787BA68, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/lib/python2.7/os.pyc\0", 0x7FFEE787BA68, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/lib/python2.7/os.py\0", 0x7FFEE787BA68, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/lib/python2.7/os.pyc\0", 0x7FFEE787BA68, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/lib/python2.7/os.py\0", 0x7FFEE787BA68, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/lib/python2.7/os.pyc\0", 0x7FFEE787BA68, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/os.py\0", 0x7FFEE787BA68, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/pybuilddir.txt\0", 0x7FFEE787C380, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/MacOS/lib/python2.7/lib-dynload\0", 0x7FFEE787C380, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/Contents/lib/python2.7/lib-dynload\0", 0x7FFEE787C380, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/Python.app/lib/python2.7/lib-dynload\0", 0x7FFEE787C380, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Resources/lib/python2.7/lib-dynload\0", 0x7FFEE787C380, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload\0", 0x7FFEE787C380, 0x0)		 = 0 0
mmap(0x0, 0x40000, 0x3, 0x1002, 0xFFFFFFFFFFFFFFFF, 0x0)		 = 0x1083E2000 0
sigaction(0xD, 0x7FFEE787C898, 0x7FFEE787C8D0)		 = 0 0
sigaction(0x19, 0x7FFEE787C898, 0x7FFEE787C8D0)		 = 0 0
sigaction(0x1, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x2, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x3, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x4, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x5, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x6, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x7, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x8, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0xA, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0xB, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0xC, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0xD, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0xE, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0xF, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x10, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x12, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x13, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x14, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x15, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x16, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x17, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x18, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x19, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x1A, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x1B, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x1C, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x1D, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x1E, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x1F, 0x0, 0x7FFEE787C850)		 = 0 0
sigaction(0x2, 0x7FFEE787C818, 0x7FFEE787C850)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python27.zip\0", 0x7FFEE787BA50, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib\0", 0x7FFEE787BA50, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python27.zip\0", 0x7FFEE787BE18, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x7FFEE787BA50, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x7FFEE787BE18, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/site\0", 0x7FFEE787C100, 0x0)		 = -1 Err#2
getrlimit(0x1008, 0x7FFEE787BF40, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/site.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sitemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/site.py\0", 0x0, 0x1B6)		 = 3 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 4 0
sysctlbyname(kern.secure_kernel, 0x12, 0x7FFEE787B334, 0x7FFEE787B338, 0x0)		 = 0 0
fstatfs64(0x4, 0x7FFEE787B338, 0x0)		 = 0 0
getdirentries64(0x4, 0x7FEF32008A00, 0x2000)		 = 8160 0
getdirentries64(0x4, 0x7FEF32008A00, 0x2000)		 = 8168 0
close_nocancel(0x4)		 = 0 0
fstat64(0x3, 0x7FFEE787C4A0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/site.pyc\0", 0x0, 0x1B6)		 = 4 0
fstat64(0x4, 0x7FFEE787C298, 0x0)		 = 0 0
read_nocancel(0x4, "\003\363\r\n\2551\333^c\0", 0x1000)		 = 4096 0
fstat64(0x4, 0x7FFEE787C3B8, 0x0)		 = 0 0
read_nocancel(0x4, "\002\0", 0x41EA)		 = 16866 0
read_nocancel(0x4, "S(\f\0", 0x8)		 = 0 0
close_nocancel(0x4)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/os\0", 0x7FFEE787BC00, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/os.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/osmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/os.py\0", 0x0, 0x1B6)		 = 4 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 5 0
fstatfs64(0x5, 0x7FFEE787AE38, 0x0)		 = 0 0
getdirentries64(0x5, 0x7FEF32809C00, 0x2000)		 = 8160 0
getdirentries64(0x5, 0x7FEF32809C00, 0x2000)		 = 8168 0
close_nocancel(0x5)		 = 0 0
fstat64(0x4, 0x7FFEE787BFA0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/os.pyc\0", 0x0, 0x1B6)		 = 5 0
fstat64(0x5, 0x7FFEE787BD98, 0x0)		 = 0 0
read_nocancel(0x5, "\003\363\r\n\2541\333^c\0", 0x1000)		 = 4096 0
fstat64(0x5, 0x7FFEE787BEB8, 0x0)		 = 0 0
read_nocancel(0x5, "ed if it does not exist.  This is\n    recursive.\n\n    N(\t\0", 0x5EBB)		 = 24243 0
read_nocancel(0x5, "s during this latter phase are\n    ignored -- they generally mean that a directory was not empty.\n\n    N(\004\0", 0x8)		 = 0 0
close_nocancel(0x5)		 = 0 0
mmap(0x0, 0x40000, 0x3, 0x1002, 0xFFFFFFFFFFFFFFFF, 0x0)		 = 0x108422000 0
munmap(0x108422000, 0x40000)		 = 0 0
mmap(0x0, 0x40000, 0x3, 0x1002, 0xFFFFFFFFFFFFFFFF, 0x0)		 = 0x108422000 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/posixpath\0", 0x7FFEE787B700, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/posixpath.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/posixpathmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/posixpath.py\0", 0x0, 0x1B6)		 = 5 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 6 0
fstatfs64(0x6, 0x7FFEE787A938, 0x0)		 = 0 0
getdirentries64(0x6, 0x7FEF32824400, 0x2000)		 = 8160 0
getdirentries64(0x6, 0x7FEF32824400, 0x2000)		 = 8168 0
close_nocancel(0x6)		 = 0 0
fstat64(0x5, 0x7FFEE787BAA0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/posixpath.pyc\0", 0x0, 0x1B6)		 = 6 0
fstat64(0x6, 0x7FFEE787B898, 0x0)		 = 0 0
read_nocancel(0x6, "\003\363\r\n\2541\333^c\0", 0x1000)		 = 4096 0
fstat64(0x6, 0x7FFEE787B9B8, 0x0)		 = 0 0
read_nocancel(0x6, "pyR\t\0", 0x214C)		 = 8516 0
read_nocancel(0x6, "the same actual file(\003\0", 0x8)		 = 0 0
close_nocancel(0x6)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/stat\0", 0x7FFEE787B200, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/stat.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/statmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/stat.py\0", 0x0, 0x1B6)		 = 6 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 7 0
fstatfs64(0x7, 0x7FFEE787A438, 0x0)		 = 0 0
getdirentries64(0x7, 0x7FEF2F80F600, 0x2000)		 = 8160 0
getdirentries64(0x7, 0x7FEF2F80F600, 0x2000)		 = 8168 0
getdirentries64(0x7, 0x7FEF2F80F600, 0x2000)		 = 8144 0
close_nocancel(0x7)		 = 0 0
fstat64(0x6, 0x7FFEE787B5A0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/stat.pyc\0", 0x0, 0x1B6)		 = 7 0
fstat64(0x7, 0x7FFEE787B398, 0x0)		 = 0 0
read_nocancel(0x7, "\003\363\r\n\2561\333^c\0", 0x1000)		 = 3251 0
fstat64(0x7, 0x7FFEE787B4B8, 0x0)		 = 0 0
read_nocancel(0x7, "(\001\0", 0x1000)		 = 0 0
close_nocancel(0x7)		 = 0 0
close_nocancel(0x6)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/genericpath\0", 0x7FFEE787B200, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/genericpath.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/genericpathmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/genericpath.py\0", 0x0, 0x1B6)		 = 6 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 7 0
fstatfs64(0x7, 0x7FFEE787A438, 0x0)		 = 0 0
getdirentries64(0x7, 0x7FEF2F810A00, 0x2000)		 = 8160 0
getdirentries64(0x7, 0x7FEF2F810A00, 0x2000)		 = 8168 0
close_nocancel(0x7)		 = 0 0
fstat64(0x6, 0x7FFEE787B5A0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/genericpath.pyc\0", 0x0, 0x1B6)		 = 7 0
fstat64(0x7, 0x7FFEE787B398, 0x0)		 = 0 0
read_nocancel(0x7, "\003\363\r\n\2521\333^c\0", 0x1000)		 = 4067 0
fstat64(0x7, 0x7FFEE787B4B8, 0x0)		 = 0 0
read_nocancel(0x7, "\0", 0x1000)		 = 0 0
close_nocancel(0x7)		 = 0 0
close_nocancel(0x6)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/warnings\0", 0x7FFEE787B200, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/warnings.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/warningsmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
